Fecha,GHI_IDEAM,GHI_NSRDB,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle
2006-01-01 00:00:00,0,0,0,0,0,7,157
2006-01-01 01:00:00,0,0,0,0,0,7,153
2006-01-01 02:00:00,0,0,0,0,0,6,142
2006-01-01 03:00:00,0,0,0,0,0,6,130
2006-01-01 04:00:00,0,0,0,0,0,6,117
2006-01-01 05:00:00,0,0,0,0,0,6,103
2006-01-01 06:00:00,0,21,11,160,0,6,89
2006-01-01 07:00:00,513,219,48,695,1,8,76
2006-01-01 08:00:00,1633,480,64,901,1,10,62
2006-01-01 09:00:00,1290,368,319,78,1,12,49
2006-01-01 10:00:00,923,894,91,1010,2,13,37
2006-01-01 11:00:00,1558,619,506,129,2,14,27
2006-01-01 12:00:00,1761,723,537,202,2,14,24
2006-01-01 13:00:00,1374,751,502,284,2,13,28
2006-01-01 14:00:00,910,688,437,316,2,12,38
2006-01-01 15:00:00,840,528,233,487,2,10,50
2006-01-01 16:00:00,556,322,121,402,2,9,63
2006-01-01 17:00:00,410,186,67,508,2,8,76
2006-01-01 18:00:00,157,13,10,62,2,8,90
2006-01-01 19:00:00,10,0,0,0,1,7,104
2006-01-01 20:00:00,0,0,0,0,1,7,118
2006-01-01 21:00:00,0,0,0,0,1,7,131
2006-01-01 22:00:00,0,0,0,0,1,6,143
2006-01-01 23:00:00,0,0,0,0,2,6,153
2006-01-02 00:00:00,0,0,0,0,2,6,157
2006-01-02 01:00:00,0,0,0,0,2,5,153
2006-01-02 02:00:00,0,0,0,0,1,5,143
2006-01-02 03:00:00,0,0,0,0,1,5,130
2006-01-02 04:00:00,0,0,0,0,1,5,117
2006-01-02 05:00:00,0,0,0,0,1,5,103
2006-01-02 06:00:00,0,17,13,81,1,5,89
2006-01-02 07:00:00,372,203,68,548,1,7,76
2006-01-02 08:00:00,730,461,92,798,2,9,62
2006-01-02 10:00:00,830,698,285,536,1,12,37
2006-01-02 11:00:00,628,397,359,42,1,13,27
2006-01-02 12:00:00,776,458,377,89,2,13,24
2006-01-02 13:00:00,690,306,287,21,2,12,28
2006-01-02 14:00:00,620,255,237,22,2,11,37
2006-01-02 15:00:00,274,166,158,11,2,10,50
2006-01-02 16:00:00,314,317,195,293,2,8,63
2006-01-02 17:00:00,455,13,13,0,1,8,76
2006-01-02 18:00:00,221,1,1,0,1,8,90
2006-01-02 19:00:00,3,0,0,0,1,7,104
2006-01-02 20:00:00,0,0,0,0,0,7,118
2006-01-02 21:00:00,0,0,0,0,0,7,131
2006-01-02 22:00:00,0,0,0,0,0,7,143
2006-01-03 00:00:00,0,0,0,0,0,6,157
2006-01-03 01:00:00,0,0,0,0,0,6,153
2006-01-03 02:00:00,0,0,0,0,0,6,143
2006-01-03 03:00:00,0,0,0,0,0,5,130
2006-01-03 04:00:00,0,0,0,0,0,5,117
2006-01-03 05:00:00,0,0,0,0,0,5,103
2006-01-03 06:00:00,0,18,11,124,0,5,90
2006-01-03 07:00:00,117,208,54,632,1,6,76
2006-01-03 08:00:00,620,240,204,72,1,7,62
2006-01-03 09:00:00,651,271,252,30,1,9,49
2006-01-03 10:00:00,384,319,300,23,1,11,37
2006-01-03 11:00:00,421,332,312,22,1,11,27
2006-01-03 12:00:00,847,301,280,22,1,12,23
2006-01-03 13:00:00,599,231,215,18,1,11,28
2006-01-03 14:00:00,593,334,314,24,1,11,37
2006-01-03 15:00:00,688,264,240,39,1,10,49
2006-01-03 16:00:00,423,437,116,707,2,9,63
2006-01-03 17:00:00,756,187,76,461,1,8,76
2006-01-03 18:00:00,332,14,11,51,1,7,90
2006-01-03 19:00:00,10,0,0,0,1,7,104
2006-01-03 20:00:00,0,0,0,0,1,6,117
2006-01-03 21:00:00,0,0,0,0,1,6,131
2006-01-03 22:00:00,0,0,0,0,1,6,143
2006-01-03 23:00:00,0,0,0,0,1,6,153
2006-01-04 01:00:00,0,0,0,0,1,5,153
2006-01-04 02:00:00,0,0,0,0,1,5,143
2006-01-04 03:00:00,0,0,0,0,0,5,130
2006-01-04 04:00:00,0,0,0,0,0,5,117
2006-01-04 05:00:00,0,0,0,0,0,5,104
2006-01-04 06:00:00,0,1,1,0,1,5,90
2006-01-04 07:00:00,28,18,18,0,2,7,76
2006-01-04 08:00:00,213,116,115,1,2,9,62
2006-01-04 09:00:00,381,353,313,60,2,10,49
2006-01-04 10:00:00,716,464,391,94,2,11,37
2006-01-04 11:00:00,1163,544,473,79,2,12,27
2006-01-04 12:00:00,1297,373,351,24,2,12,23
2006-01-04 13:00:00,1185,441,407,38,2,12,27
2006-01-04 14:00:00,1185,463,407,69,2,11,37
2006-01-04 15:00:00,1145,547,247,487,2,10,49
2006-01-04 16:00:00,1269,33,33,0,2,9,62
2006-01-04 17:00:00,660,36,36,0,2,8,76
2006-01-04 18:00:00,128,2,2,0,1,6,90
2006-01-04 19:00:00,4,0,0,0,1,6,104
2006-01-04 21:00:00,0,0,0,0,1,6,131
2006-01-04 22:00:00,0,0,0,0,1,6,143
2006-01-04 23:00:00,0,0,0,0,1,5,153
2006-01-05 00:00:00,0,0,0,0,1,5,157
2006-01-05 01:00:00,0,0,0,0,1,5,153
2006-01-05 02:00:00,0,0,0,0,1,5,143
2006-01-05 03:00:00,0,0,0,0,1,5,131
2006-01-05 04:00:00,0,0,0,0,1,4,117
2006-01-05 05:00:00,0,0,0,0,1,4,104
2006-01-05 06:00:00,0,1,1,0,1,5,90
2006-01-05 07:00:00,18,26,26,0,1,6,76
2006-01-05 08:00:00,136,94,93,3,1,8,62
2006-01-05 09:00:00,294,354,310,66,1,10,49
2006-01-05 10:00:00,814,583,448,169,2,12,37
2006-01-05 11:00:00,1070,435,376,67,2,13,27
2006-01-05 12:00:00,1495,494,402,98,2,13,23
2006-01-05 13:00:00,1651,706,494,241,2,12,27
2006-01-05 14:00:00,1610,474,404,90,3,11,37
2006-01-05 15:00:00,1454,430,335,151,3,10,49
2006-01-05 16:00:00,1498,299,148,372,2,9,62
2006-01-05 17:00:00,755,111,96,59,2,8,76
2006-01-05 18:00:00,130,9,9,0,2,7,90
2006-01-05 19:00:00,5,0,0,0,1,6,104
2006-01-05 20:00:00,0,0,0,0,1,6,117
2006-01-05 21:00:00,0,0,0,0,1,6,131
2006-01-05 22:00:00,0,0,0,0,1,6,143
2006-01-05 23:00:00,0,0,0,0,1,6,153
2006-01-06 00:00:00,0,0,0,0,1,6,158
2006-01-06 01:00:00,0,0,0,0,1,5,153
2006-01-06 02:00:00,0,0,0,0,1,5,143
2006-01-06 03:00:00,0,0,0,0,1,5,131
2006-01-06 04:00:00,0,0,0,0,1,5,117
2006-01-06 05:00:00,0,0,0,0,1,5,104
2006-01-06 06:00:00,0,3,3,0,1,5,90
2006-01-06 07:00:00,17,31,31,0,1,7,76
2006-01-06 08:00:00,159,135,133,4,2,8,62
2006-01-06 09:00:00,364,172,163,13,2,10,49
2006-01-06 10:00:00,691,263,248,19,2,12,37
2006-01-06 11:00:00,681,242,225,18,2,13,27
2006-01-06 12:00:00,652,470,420,53,2,13,23
2006-01-06 15:00:00,1031,398,281,190,2,10,49
2006-01-06 16:00:00,899,248,196,124,2,9,62
2006-01-06 17:00:00,396,102,93,33,2,8,76
2006-01-06 18:00:00,184,8,8,0,1,7,90
2006-01-06 19:00:00,12,0,0,0,1,7,104
2006-01-06 20:00:00,0,0,0,0,1,7,117
2006-01-06 21:00:00,0,0,0,0,0,6,131
2006-01-06 22:00:00,0,0,0,0,0,6,143
2006-01-06 23:00:00,0,0,0,0,0,6,153
2006-01-07 00:00:00,0,0,0,0,0,6,158
2006-01-07 01:00:00,0,0,0,0,0,6,153
2006-01-07 02:00:00,0,0,0,0,0,5,143
2006-01-07 03:00:00,0,0,0,0,0,5,131
2006-01-07 04:00:00,0,0,0,0,0,5,118
2006-01-07 05:00:00,0,0,0,0,0,5,104
2006-01-07 06:00:00,0,9,9,0,1,5,90
2006-01-07 07:00:00,37,96,87,45,1,7,76
2006-01-07 08:00:00,202,174,165,17,1,9,63
2006-01-07 09:00:00,359,273,252,30,0,10,49
2006-01-07 10:00:00,703,387,355,40,0,11,37
2006-01-07 11:00:00,1194,446,413,36,0,12,27
2006-01-07 12:00:00,1299,617,520,105,0,12,23
2006-01-07 13:00:00,1567,435,397,41,1,13,27
2006-01-07 14:00:00,1066,451,404,59,1,12,37
2006-01-07 15:00:00,1083,349,304,73,1,10,49
2006-01-07 16:00:00,830,181,172,19,1,9,62
2006-01-07 17:00:00,392,93,89,14,1,8,76
2006-01-07 18:00:00,127,8,8,0,1,8,90
2006-01-07 20:00:00,0,0,0,0,0,8,117
2006-01-07 21:00:00,0,0,0,0,0,8,131
2006-01-07 22:00:00,0,0,0,0,0,7,143
2006-01-07 23:00:00,0,0,0,0,0,7,153
2006-01-08 00:00:00,0,0,0,0,0,7,158
2006-01-08 01:00:00,0,0,0,0,0,7,154
2006-01-08 02:00:00,0,0,0,0,0,6,143
2006-01-08 03:00:00,0,0,0,0,0,6,131
2006-01-08 04:00:00,0,0,0,0,0,6,118
2006-01-08 05:00:00,0,0,0,0,0,6,104
2006-01-08 06:00:00,0,8,8,0,0,6,90
2006-01-08 07:00:00,38,96,89,34,0,7,76
2006-01-08 08:00:00,288,209,191,38,0,8,63
2006-01-08 09:00:00,507,287,267,29,0,10,49
